Rank,name,Country,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
81.0,Thomas Lourens,South Africa,1456.0,292.0,148.0,144.0,99.0,68.0,56.0,69.0,48.0,236.0,69.0,38.0,59.0,41.0,41.0,16.0,7.0,25.0
82.0,Jan-Hendrik Hoogendyk,South Africa,1486.0,37.0,9.0,81.0,215.0,68.0,56.0,69.0,48.0,87.0,69.0,249.0,95.0,325.0,30.0,16.0,7.0,25.0
83.0,Raefe Roodt,South Africa,1514.0,90.0,73.0,105.0,101.0,68.0,56.0,69.0,48.0,256.0,50.0,107.0,291.0,100.0,52.0,16.0,7.0,25.0
84.0,Omar Ouadouha,Morocco,1533.0,32.0,145.0,24.0,215.0,68.0,56.0,31.0,48.0,54.0,69.0,82.0,229.0,325.0,107.0,16.0,7.0,25.0
85.0,Brent Boswell,South Africa,1579.0,117.0,216.0,117.0,81.0,55.0,50.0,33.0,48.0,73.0,46.0,143.0,286.0,188.0,78.0,16.0,7.0,25.0
86.0,Milind Bhoyroo,Mauritius,1602.0,129.0,34.0,161.0,215.0,68.0,56.0,69.0,48.0,171.0,69.0,173.0,96.0,158.0,107.0,16.0,7.0,25.0
87.0,Ryan du Preez,South Africa,1626.0,208.0,355.0,89.0,63.0,68.0,56.0,69.0,48.0,123.0,69.0,99.0,74.0,150.0,107.0,16.0,7.0,25.0
88.0,Mostafa Mahran,Egypt,1631.0,337.0,228.0,103.0,68.0,51.0,56.0,69.0,44.0,255.0,36.0,57.0,100.0,146.0,33.0,16.0,7.0,25.0
89.0,Nkosinathi Radebe,South Africa,1639.0,194.0,121.0,139.0,80.0,68.0,56.0,61.0,48.0,235.0,69.0,92.0,189.0,132.0,107.0,16.0,7.0,25.0
90.0,Duan Myburgh,South Africa,1643.0,162.0,182.0,91.0,62.0,68.0,56.0,69.0,48.0,81.0,69.0,48.0,424.0,139.0,96.0,16.0,7.0,25.0
91.0,Aditya Ramessur,Mauritius,1646.0,125.0,280.0,113.0,86.0,68.0,56.0,69.0,48.0,106.0,69.0,31.0,291.0,149.0,107.0,16.0,7.0,25.0
92.0,Victor Ebubechukwu Tobechukwu Asiwe,Nigeria,1653.0,170.0,56.0,53.0,98.0,68.0,56.0,69.0,48.0,44.0,69.0,249.0,193.0,325.0,107.0,16.0,7.0,25.0
93.0,Uan Hermanus,South Africa,1670.0,201.0,254.0,145.0,129.0,68.0,56.0,69.0,48.0,152.0,69.0,159.0,131.0,81.0,60.0,16.0,7.0,25.0
94.0,Zameer Dada,South Africa,1673.0,219.0,71.0,241.0,153.0,68.0,56.0,69.0,42.0,147.0,69.0,177.0,72.0,155.0,86.0,16.0,7.0,25.0
95.0,Tarek Bazizi,Algeria,1679.0,190.0,318.0,71.0,97.0,59.0,56.0,24.0,48.0,95.0,68.0,100.0,83.0,325.0,97.0,16.0,7.0,25.0
96.0,Luan van der Walt,South Africa,1681.0,257.0,89.0,131.0,215.0,68.0,56.0,69.0,48.0,229.0,69.0,90.0,69.0,136.0,107.0,16.0,7.0,25.0
97.0,Kieran Weitz,South Africa,1682.0,169.0,211.0,165.0,215.0,68.0,47.0,69.0,48.0,190.0,69.0,54.0,173.0,49.0,107.0,16.0,7.0,25.0
98.0,Selim Makni,Tunisia,1685.0,123.0,73.0,156.0,215.0,68.0,56.0,11.0,48.0,79.0,69.0,60.0,374.0,272.0,45.0,14.0,7.0,15.0
99.0,Taha Ben Salah,Tunisia,1720.0,345.0,159.0,147.0,73.0,49.0,45.0,6.0,19.0,115.0,55.0,80.0,179.0,325.0,107.0,7.0,4.0,5.0
100.0,Devon Hong,South Africa,1727.0,296.0,47.0,206.0,121.0,68.0,56.0,69.0,48.0,247.0,69.0,168.0,106.0,71.0,107.0,16.0,7.0,25.0
101.0,Fares Arshad Hussain Shah,Egypt,1746.0,28.0,35.0,552.0,215.0,68.0,56.0,69.0,48.0,83.0,69.0,249.0,97.0,22.0,107.0,16.0,7.0,25.0
102.0,Joshua Van Wyk,South Africa,1765.0,35.0,58.0,169.0,215.0,68.0,56.0,69.0,48.0,120.0,69.0,249.0,129.0,325.0,107.0,16.0,7.0,25.0
103.0,Daniel Peter Charles Moore,South Africa,1781.0,163.0,238.0,57.0,96.0,68.0,56.0,69.0,48.0,163.0,69.0,249.0,25.0,325.0,107.0,16.0,7.0,25.0
104.0,Walt Deyzel,South Africa,1795.0,133.0,104.0,119.0,215.0,68.0,56.0,16.0,48.0,224.0,69.0,249.0,14.0,325.0,107.0,16.0,7.0,25.0
105.0,Christopher Kondylis,South Africa,1802.0,104.0,12.0,158.0,93.0,68.0,56.0,69.0,48.0,159.0,69.0,171.0,498.0,142.0,107.0,16.0,7.0,25.0
106.0,Akin Falase,Nigeria,1830.0,295.0,202.0,77.0,215.0,68.0,56.0,69.0,48.0,141.0,69.0,76.0,250.0,109.0,107.0,16.0,7.0,25.0
107.0,Christo du Venage,South Africa,1832.0,366.0,189.0,154.0,126.0,48.0,46.0,69.0,36.0,150.0,69.0,119.0,275.0,30.0,107.0,16.0,7.0,25.0
108.0,Cullen Milne,South Africa,1833.0,120.0,293.0,194.0,125.0,68.0,56.0,69.0,48.0,125.0,45.0,249.0,210.0,102.0,81.0,16.0,7.0,25.0
109.0,Arav Maharajh,South Africa,1847.0,60.0,119.0,69.0,70.0,68.0,56.0,69.0,48.0,580.0,69.0,47.0,157.0,325.0,62.0,16.0,7.0,25.0
110.0,Yousef El Fayoumy,Egypt,1848.0,142.0,99.0,20.0,18.0,68.0,56.0,42.0,48.0,262.0,69.0,249.0,449.0,171.0,107.0,16.0,7.0,25.0
111.0,Yassine Bettahar,Algeria,1849.0,5.0,40.0,18.0,215.0,68.0,56.0,69.0,48.0,14.0,69.0,249.0,518.0,325.0,107.0,16.0,7.0,25.0
112.0,Ekhard Rabie,South Africa,1855.0,235.0,87.0,261.0,120.0,68.0,56.0,69.0,34.0,112.0,69.0,117.0,166.0,306.0,107.0,16.0,7.0,25.0
113.0,Lindsay Hans,South Africa,1858.0,327.0,64.0,205.0,143.0,57.0,49.0,39.0,24.0,307.0,60.0,89.0,231.0,127.0,94.0,15.0,7.0,20.0
114.0,Jordan Byres,South Africa,1880.0,145.0,81.0,114.0,75.0,68.0,56.0,69.0,48.0,284.0,69.0,249.0,142.0,325.0,107.0,16.0,7.0,25.0
115.0,Nicholas Barlow,South Africa,1902.0,49.0,64.0,552.0,215.0,68.0,56.0,69.0,48.0,92.0,69.0,112.0,101.0,252.0,107.0,16.0,7.0,25.0
116.0,Damian Jansen,South Africa,1926.0,36.0,51.0,176.0,142.0,68.0,56.0,69.0,48.0,132.0,69.0,242.0,357.0,325.0,107.0,16.0,7.0,25.0
116.0,Belkacem Mohand,Algeria,1926.0,405.0,194.0,196.0,130.0,68.0,56.0,69.0,48.0,258.0,39.0,244.0,22.0,114.0,35.0,16.0,7.0,25.0
118.0,Luke Kindon,South Africa,1944.0,137.0,197.0,90.0,215.0,68.0,56.0,69.0,48.0,161.0,69.0,249.0,105.0,325.0,107.0,16.0,7.0,25.0
119.0,Muhammad Akoodi,South Africa,1988.0,299.0,10.0,220.0,215.0,68.0,56.0,55.0,48.0,143.0,69.0,84.0,463.0,103.0,107.0,16.0,7.0,25.0
120.0,Yahia Ahmed Abdallah Elhawy,Egypt,1994.0,347.0,18.0,83.0,207.0,68.0,56.0,30.0,48.0,193.0,69.0,109.0,286.0,325.0,107.0,16.0,7.0,25.0
121.0,Fadi Aissaoui,Algeria,2002.0,292.0,179.0,141.0,215.0,68.0,56.0,69.0,48.0,108.0,69.0,144.0,133.0,325.0,107.0,16.0,7.0,25.0
122.0,Juan Erasmus,South Africa,2010.0,339.0,267.0,107.0,116.0,68.0,56.0,69.0,48.0,232.0,41.0,37.0,390.0,85.0,107.0,16.0,7.0,25.0
122.0,Conrad Roets,South Africa,2010.0,267.0,104.0,238.0,215.0,68.0,56.0,69.0,48.0,186.0,69.0,249.0,259.0,57.0,77.0,16.0,7.0,25.0
124.0,Kaiss Mikou,Morocco,2019.0,185.0,45.0,211.0,215.0,68.0,56.0,69.0,48.0,242.0,69.0,206.0,125.0,325.0,107.0,16.0,7.0,25.0
125.0,Zaakir Hagee,South Africa,2055.0,14.0,18.0,552.0,215.0,68.0,56.0,69.0,48.0,24.0,69.0,249.0,193.0,325.0,107.0,16.0,7.0,25.0
126.0,Kelvin Muchui,Kenya,2100.0,213.0,452.0,75.0,79.0,60.0,56.0,18.0,48.0,124.0,69.0,249.0,177.0,325.0,107.0,16.0,7.0,25.0
127.0,Andrew Antoine,Egypt,2101.0,278.0,94.0,222.0,157.0,68.0,56.0,69.0,48.0,75.0,69.0,223.0,332.0,255.0,107.0,16.0,7.0,25.0
127.0,Daniel David Mizen,South Africa,2101.0,351.0,330.0,204.0,111.0,68.0,56.0,69.0,48.0,233.0,35.0,249.0,184.0,25.0,90.0,16.0,7.0,25.0
129.0,Jeandre du Preez,South Africa,2104.0,228.0,102.0,234.0,215.0,68.0,56.0,69.0,48.0,231.0,69.0,249.0,257.0,123.0,107.0,16.0,7.0,25.0
130.0,Jan Louis van den Berg,South Africa,2115.0,261.0,349.0,179.0,215.0,68.0,56.0,69.0,48.0,257.0,69.0,58.0,188.0,143.0,107.0,16.0,7.0,25.0
131.0,Ibrahim Ossama Elhadi,Egypt,2117.0,100.0,144.0,320.0,215.0,68.0,56.0,69.0,48.0,319.0,69.0,249.0,268.0,57.0,87.0,16.0,7.0,25.0
132.0,Keelan Naidoo,South Africa,2128.0,258.0,17.0,96.0,215.0,68.0,56.0,69.0,48.0,570.0,69.0,249.0,199.0,59.0,107.0,16.0,7.0,25.0
133.0,Hannah Nader Eskander,Egypt,2130.0,13.0,220.0,62.0,215.0,68.0,56.0,69.0,48.0,189.0,69.0,249.0,392.0,325.0,107.0,16.0,7.0,25.0
