Rank,name,Country,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
115.0,David Remolina Amórtegui,Colombia,4505.0,33.0,156.0,38.0,92.0,180.0,191.0,286.0,117.0,28.0,267.0,271.0,958.0,1175.0,381.0,80.0,33.0,219.0
116.0,Sebastiano Benato,Uruguay,4514.0,480.0,26.0,222.0,466.0,305.0,296.0,240.0,190.0,642.0,40.0,535.0,2.0,617.0,121.0,80.0,33.0,219.0
117.0,José Miguel Lanz Mendoza,Venezuela,4515.0,287.0,180.0,123.0,163.0,519.0,557.0,607.0,358.0,75.0,285.0,289.0,390.0,157.0,193.0,80.0,33.0,219.0
118.0,Sebastián Morón Mariscal,Bolivia,4532.0,616.0,1055.0,140.0,243.0,220.0,259.0,94.0,97.0,366.0,102.0,203.0,220.0,93.0,573.0,34.0,33.0,184.0
119.0,Mateo Aguirre,Peru,4535.0,7.0,60.0,250.0,384.0,698.0,557.0,607.0,31.0,18.0,727.0,204.0,225.0,253.0,182.0,80.0,33.0,219.0
120.0,Alejandro Marze Rossel,Bolivia,4563.0,108.0,139.0,16.0,58.0,44.0,109.0,607.0,492.0,51.0,727.0,90.0,418.0,664.0,708.0,80.0,33.0,219.0
121.0,Andrés Claros,Argentina,4587.0,164.0,526.0,341.0,218.0,299.0,345.0,82.0,78.0,197.0,727.0,160.0,398.0,446.0,304.0,80.0,33.0,189.0
121.0,Juan Sebastian Mendez Llanos,Colombia,4587.0,398.0,49.0,418.0,279.0,198.0,233.0,607.0,607.0,201.0,331.0,218.0,211.0,108.0,397.0,80.0,33.0,219.0
123.0,Kevin Vanegas Diaz,Colombia,4632.0,218.0,126.0,460.0,456.0,387.0,287.0,183.0,190.0,472.0,238.0,426.0,250.0,353.0,290.0,80.0,33.0,183.0
123.0,Jose Antonio Campero Morales,Bolivia,4632.0,370.0,491.0,153.0,106.0,161.0,140.0,607.0,444.0,440.0,364.0,326.0,479.0,122.0,97.0,80.0,33.0,219.0
125.0,Pedro Miranda Moreira,Brazil,4644.0,108.0,143.0,205.0,265.0,307.0,429.0,278.0,117.0,239.0,270.0,99.0,278.0,905.0,669.0,80.0,33.0,219.0
126.0,Gabriel Ignacio Fernández Albarracin,Chile,4650.0,517.0,215.0,210.0,188.0,222.0,181.0,607.0,607.0,112.0,496.0,226.0,479.0,192.0,66.0,80.0,33.0,219.0
127.0,Ignacio Mita Cabezas,Bolivia,4670.0,26.0,269.0,109.0,29.0,65.0,77.0,607.0,607.0,148.0,727.0,121.0,320.0,163.0,1070.0,80.0,33.0,219.0
128.0,Joseph Daniel Blas Sanchez,Bolivia,4680.0,476.0,1016.0,129.0,102.0,59.0,74.0,607.0,212.0,301.0,215.0,176.0,95.0,227.0,659.0,80.0,33.0,219.0
