Rank,name,Sum,333,222,444,555,666,777,333bf,333oh,clock,minx,pyram,skewb,sq1
122.0,Muhtasim Uzzaman,886.0,149.0,121.0,103.0,46.0,18.0,13.0,2.0,134.0,5.0,36.0,110.0,119.0,30.0
123.0,Irfan Afeef,889.0,96.0,100.0,105.0,46.0,18.0,13.0,2.0,88.0,5.0,36.0,231.0,119.0,30.0
124.0,Mohammad Mehrab Hossain,900.0,103.0,144.0,85.0,46.0,18.0,13.0,2.0,68.0,5.0,36.0,231.0,119.0,30.0
125.0,Md Tamim Ferdous,903.0,265.0,185.0,105.0,46.0,18.0,13.0,2.0,162.0,5.0,36.0,27.0,9.0,30.0
126.0,Arshad Amin Nasif,918.0,32.0,296.0,105.0,46.0,18.0,13.0,2.0,76.0,5.0,36.0,140.0,119.0,30.0
127.0,Ayan Abrar,922.0,33.0,296.0,105.0,10.0,18.0,13.0,2.0,24.0,5.0,36.0,231.0,119.0,30.0
128.0,Faisal Bin Mozid,926.0,257.0,110.0,105.0,46.0,18.0,13.0,2.0,181.0,5.0,36.0,43.0,80.0,30.0
129.0,Towhidun Nobi,927.0,5.0,296.0,10.0,5.0,18.0,13.0,2.0,189.0,5.0,4.0,231.0,119.0,30.0
129.0,Prottay Debnath,927.0,193.0,110.0,105.0,46.0,18.0,13.0,2.0,127.0,5.0,36.0,123.0,119.0,30.0
131.0,Radiath Kamal Patwary,928.0,20.0,181.0,105.0,46.0,18.0,13.0,2.0,122.0,5.0,36.0,231.0,119.0,30.0
132.0,Muntashir Mamun Timu,931.0,137.0,200.0,105.0,46.0,18.0,13.0,2.0,61.0,5.0,36.0,189.0,89.0,30.0
133.0,Samujjal Shabib Ador,934.0,123.0,139.0,105.0,46.0,18.0,13.0,2.0,189.0,5.0,36.0,109.0,119.0,30.0
134.0,Quazi Nafiz Sadiq,936.0,122.0,132.0,105.0,46.0,18.0,13.0,2.0,77.0,5.0,36.0,231.0,119.0,30.0
135.0,Ha-Mim Bin Haroon,943.0,176.0,120.0,105.0,46.0,18.0,13.0,2.0,189.0,5.0,36.0,84.0,119.0,30.0
136.0,Saik Anam Joaddar Siam,944.0,112.0,161.0,105.0,46.0,18.0,13.0,2.0,66.0,5.0,36.0,231.0,119.0,30.0
137.0,Tahmid UL Islam,946.0,207.0,214.0,105.0,46.0,18.0,13.0,2.0,170.0,5.0,36.0,23.0,77.0,30.0
