Rank,name,Sum,333,222,444,555,666,333oh,clock,minx,pyram,skewb,sq1
125.0,Guga Kakablishvili (გუგა კაკაბლიშვილი),426.0,159.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,33.0,34.0,5.0
126.0,Megi Gviniashvili (მეგი ღვინიაშვილი),429.0,126.0,93.0,27.0,9.0,2.0,38.0,2.0,8.0,85.0,34.0,5.0
127.0,Cotne Meladze (ცოტნე მელაძე),430.0,109.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
127.0,Giorgi Kadagishvili (გიორგი ქადაგიშვილი),430.0,159.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,37.0,34.0,5.0
129.0,Daniel Zamtaradze,431.0,121.0,98.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
130.0,Luka Barbakadze,434.0,159.0,83.0,27.0,9.0,2.0,38.0,2.0,8.0,67.0,34.0,5.0
130.0,Teodore Mgaloblishvili,434.0,113.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
132.0,Davit Gulua (დავით გულუა),435.0,114.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
133.0,Andria Buzaladze,436.0,115.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
134.0,Andria Apinian,439.0,132.0,95.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
135.0,Mariam Chichiboshvili,440.0,119.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
136.0,Aleksandre Muskheladze,442.0,138.0,100.0,27.0,9.0,2.0,38.0,2.0,8.0,79.0,34.0,5.0
137.0,Oto Makaradze,443.0,122.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
137.0,Nikoloz Kikadze,443.0,124.0,107.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
139.0,Rostomi Demurashvili,444.0,123.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
140.0,Aleksandre Meskhi,448.0,145.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,69.0,34.0,5.0
141.0,Nika Maisuradze (ნიკა მაისურაძე),449.0,128.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
142.0,Giorgi Tavlalashvili,451.0,130.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
143.0,Nikoloz Miminoshvili,452.0,131.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
144.0,Tedo Sidamonidze (თედო სიდამონიძე),454.0,133.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
145.0,Gabriel Gvelesiani (გაბრიელ გველესიანი),455.0,140.0,103.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
146.0,Lazare Iakobadze (ლაზარე იაკობაძე),457.0,136.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
147.0,Zura Shavshishvili (ზურა შავშიშვილი),458.0,137.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
147.0,Nikoloz Kubaneishvili,458.0,159.0,87.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
149.0,Tata Kvavilashvili (თათა ყვავილაშვილი),460.0,143.0,105.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
150.0,Nika Jijieshvili,461.0,159.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,68.0,34.0,5.0
150.0,Demna Noghashvili,461.0,148.0,101.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
