Rank,name,Sum,333,222,444,555,666,777,333fm,333oh,clock,minx,pyram,skewb,sq1
148.0,Spandan Rajkarnikar,726.0,137.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,12.0,99.0,70.0,21.0
148.0,Aashish Prasad Gupta,726.0,139.0,153.0,62.0,21.0,7.0,4.0,8.0,79.0,9.0,18.0,135.0,70.0,21.0
150.0,Aayush Ramtel,728.0,97.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
151.0,Kastab Bharati,729.0,98.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
152.0,Ronan Singh,730.0,99.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
153.0,Samyek Lal Shrestha,734.0,256.0,126.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,64.0,46.0,21.0
154.0,Madan Sing Nepali,736.0,105.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
155.0,Shivan Man Shrestha,738.0,107.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
155.0,Bikram Lama,738.0,198.0,93.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
157.0,Sangam Sharma,739.0,108.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
158.0,Sasuke Kharel,741.0,208.0,135.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,92.0,64.0,21.0
158.0,Achyut Bhattarai,741.0,268.0,125.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,36.0,70.0,21.0
158.0,Sayam Maharjan,741.0,160.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,85.0,70.0,21.0
161.0,Anurag Yadav,742.0,159.0,136.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
162.0,Aashish Dwivedi,743.0,112.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
163.0,Samir Lama,745.0,207.0,91.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
163.0,Parichit Khanal,745.0,213.0,168.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,52.0,70.0,21.0
163.0,Kritish Paudel,745.0,185.0,113.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
166.0,Sagar Pandey,746.0,135.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,115.0,70.0,21.0
167.0,Sangeer Negi,747.0,116.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
167.0,Ronit Sthapit,747.0,116.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
169.0,Rohan Chakraborty,750.0,203.0,103.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,132.0,70.0,21.0
169.0,Aryan Soni Chaudhary,750.0,192.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,62.0,70.0,21.0
171.0,Zoell Tshering Lhomi,751.0,218.0,143.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,88.0,60.0,21.0
172.0,Aditi Regmi,752.0,121.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
