Rank,name,Sum,333,222,444,555,666,777,333bf,333oh,clock,minx,pyram,skewb,sq1
109.0,Jose Daniel Alvarez Pineda,450.0,110.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,59.0,33.0,9.0
110.0,Mario Josue Hernandez Lazaro,451.0,108.0,90.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
111.0,Christian Josue Andino Morales,452.0,94.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
112.0,Pablo Rejopachi,453.0,114.0,86.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
112.0,Cesar Edgardo Mejia Diaz,453.0,95.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
114.0,Diego Armando Orellana Montoya,454.0,96.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
114.0,Carlos Alexander Zelaya Alberto,454.0,127.0,76.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,31.0,9.0
116.0,Obed Isai Espinoza Valladares,455.0,97.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
117.0,Moises David Mendoza,457.0,119.0,85.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
118.0,Jeremy Umanzor,458.0,124.0,81.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
119.0,Jeferson Hernandez Caceres,459.0,101.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
120.0,Jose Alberto Hernadez Sabillon,462.0,135.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,46.0,33.0,9.0
121.0,Jose Dimas Maldonado Gonzales,463.0,120.0,90.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
121.0,Fabrico Javier Hernandez,463.0,105.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
123.0,Hugo Henry Paz Zuniga,464.0,129.0,99.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,60.0,33.0,9.0
124.0,Antonio Miguel Lardizábal Corpeño,468.0,110.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
