Rank,name,Sum,333,222,444,555,666,777,333fm,333oh,clock,minx,pyram,skewb,sq1
99.0,Lilia Aghayan,330.0,96.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
100.0,Davit Khorshikyan,332.0,98.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
101.0,Lilit Galstyan,333.0,99.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
102.0,Alik Ghambaryan,334.0,100.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
103.0,Bagrat Kirakosyan,335.0,101.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
103.0,Tatev Taranyan,335.0,113.0,48.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
105.0,Erik Broyan,336.0,102.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
106.0,Hovhannes Harutyunyan,338.0,109.0,55.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
107.0,Areg Hovsepyan,339.0,105.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
108.0,Tigran Avagyan,340.0,106.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
109.0,Gor Galstyan,341.0,107.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
110.0,Gor Barkhudaryan,342.0,108.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
111.0,Samvel Harutyunyan,344.0,110.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
112.0,Aram Melkonyan,345.0,111.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
112.0,Lia Gevorgyan,345.0,148.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,18.0,19.0,7.0
114.0,Suren Aslanyan,346.0,112.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
115.0,Sofya Gharibyan,348.0,114.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
116.0,Davit Malkhasyan,349.0,115.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
117.0,Iren Sargsyan,351.0,117.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
118.0,David Melikbekyan,352.0,118.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
119.0,Nzhdeh Kerobyan,353.0,119.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
120.0,Valentina Beybutyan,354.0,120.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
121.0,Lily Tadevosyan,355.0,121.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
122.0,Arman Balasanyan,356.0,122.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
123.0,Miqael Avagyan,357.0,123.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
124.0,Tigran Karanyan,358.0,148.0,57.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,34.0,19.0,7.0
124.0,Grigory Dashyan,358.0,124.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
126.0,Anush Bareyan,359.0,125.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
127.0,Ashot Mardanyan,360.0,126.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
128.0,Nare Manukyan,361.0,127.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
129.0,Gor Mughdusyan (Գոռ Մուղդուսյան),362.0,128.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
130.0,Arina Kerobyan,363.0,130.0,59.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
130.0,Marine Manukyan,363.0,129.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
132.0,Tigran Yeghoyan,365.0,131.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
