Rank,name,Sum,333,222,444,555,666,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
156.0,Nikoloz Emukhvari,498.0,145.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
157.0,Davit Tsutskiridze,500.0,154.0,106.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
157.0,Saba Japaridze,500.0,157.0,110.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,81.0,34.0,5.0
157.0,Erekle Murgvashvili,500.0,152.0,108.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
160.0,Giorgi Sopromidze,501.0,161.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,75.0,34.0,5.0
161.0,Demna Noghashvili,502.0,155.0,107.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
162.0,Luka Kvernadze (ლუკა კვერნაძე),503.0,150.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
163.0,Tsotne Tabutsadze,504.0,153.0,111.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
163.0,Gela Kirvalidze,504.0,151.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
165.0,Nika Jijieshvili,505.0,161.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,79.0,34.0,5.0
166.0,Mariam Labadze (მარიამ ლაბაძე),509.0,156.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
166.0,Konstantine Kiguradze (კონსტანტინე კიღურაძე),509.0,160.0,109.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
168.0,Beqa Dzeria,511.0,161.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,85.0,34.0,5.0
168.0,Lado Tsibakhashvili (ლადო წიბახაშვილი),511.0,158.0,113.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
170.0,Ioane Mindiashvili,513.0,161.0,112.0,39.0,11.0,2.0,4.0,3.0,44.0,2.0,8.0,88.0,34.0,5.0
